k_bits,collision_rate,avg_bias,avg_hamming_distance,entropy
1,0.96,0.4796875,60,1
3,0.84,0.4228125,62.71428571,3
5,0.48,0.24671875,63.96,4.700439718
7,0.2,0.1084375,63.85128205,5.321928095
9,0.08,0.0646875,63.92463768,5.523561956
11,0,0.055,64.05714286,5.64385619
13,0.02,0.05203125,64.07312925,5.614709844
15,0,0.05171875,64.15918367,5.64385619
17,0,0.055625,64.00326531,5.64385619
19,0,0.0659375,63.72734694,5.64385619
21,0,0.0575,63.89714286,5.64385619
23,0,0.0509375,64.18612245,5.64385619
25,0,0.05578125,64.15102041,5.64385619
27,0,0.0521875,64.13877551,5.64385619
29,0,0.05609375,63.89306122,5.64385619
31,0,0.05515625,64.06122449,5.64385619
33,0,0.05453125,64.11836735,5.64385619
35,0,0.0584375,63.90530612,5.64385619
37,0,0.0559375,63.9444898,5.64385619
39,0,0.0534375,64.01142857,5.64385619
41,0,0.06,63.90204082,5.64385619
43,0,0.05546875,64.06612245,5.64385619
45,0,0.0584375,63.96897959,5.64385619
47,0,0.05140625,64.24081633,5.64385619
49,0,0.05515625,64.01387755,5.64385619
51,0,0.05984375,63.82938776,5.64385619
53,0,0.0571875,63.9722449,5.64385619
55,0,0.0503125,64.13387755,5.64385619
57,0,0.05453125,64.02204082,5.64385619
59,0,0.05609375,64.07102041,5.64385619
61,0,0.060625,63.8922449,5.64385619
63,0,0.05390625,64.12979592,5.64385619
